,Job,Specialization,Company,Location,Date_posted
315,Front Desk / Office Assistant,Administration/ Office/ Operations,Virgin Beauty Industries Nigeria Limited,Lagos,"16th December, 2020"
316,Hotel Manager,Hospitality / Food Services,GreyStone Consulting Limited,Lagos,"16th December, 2020"
317,Floor Sales Representative,Sales / Business Development,Altara Credit Limited,Oyo,"16th December, 2020"
318,Business Development Manager,Sales / Business Development,Openemployment.ng,Lagos,"16th December, 2020"
319,Business Development Officer,Sales / Business Development,UnoCasa Limited,Lagos,"16th December, 2020"
320,Professional Video Editor,Media / Art / Entertainment,CL Communications,Lagos,"16th December, 2020"
321,Store Manager,Supply Chain/ Store,Owens and Xley Consults,Lagos,"16th December, 2020"
322,Retail Store Supervisor,Supply Chain/ Store,Owens and Xley Consults,Lagos,"16th December, 2020"
323,Data Analyst / Processor,Analyst/ Quality Control,UnoCasa Limited,Lagos,"16th December, 2020"
324,Business Development Manager,Sales / Business Development,Janchine Nigeria Limited,Lagos,"16th December, 2020"
325,Customer Care Representative,Customer Service,Canpel Revenue Services,Lagos,"16th December, 2020"
326,Project Manager,Project Management,Zetech Oil Services,Abuja,"16th December, 2020"
327,Mathematics Instructor,Education / Teaching / Training,Dominion Consulting Nigeria,Lagos,"16th December, 2020"
328,Perioperative Nurse,Medical/ Healthcare / Pharmaceutical,PEARLDROPS HEALTHCARE STAFFING,Lagos,"16th December, 2020"
329,Executive Assistant,Administration/ Office/ Operations,Velox,Lagos,"16th December, 2020"
330,Finance Manager,Accounting / Audit / Finance,Eunisell,Lagos,"16th December, 2020"
331,Mobile App Developer,Telecommunications,Supermart.ng,Lagos,"16th December, 2020"
332,Marketing Executive,Advertising/ Social Media/ Marketing/ PR,Janchine Nigeria Limited,Lagos,"16th December, 2020"
333,Female Accountant,Accounting / Audit / Finance,Tenaui Africa Limited,Lagos,"16th December, 2020"
336,Director of Studies,Education / Teaching / Training,The Riverbank School,Lagos,"16th December, 2020"
337,HVAC Technician,Engineering / Technical,May & Baker Nigeria Plc,Ogun,"16th December, 2020"
338,Professional Driver,Driving / Haulage,Karisfined Edge Solutions,Lagos,"16th December, 2020"
339,Executive Driver,Driving / Haulage,Brookstone Property Limited,Lagos,"16th December, 2020"
340,School Counselor,Education / Teaching / Training,Eden Solution and Resources Ltd.,Abuja,"16th December, 2020"
341,Investment Analyst,Accounting / Audit / Finance,Bellforte Consulting,Lagos,"16th December, 2020"
342,Software Developer,Software/ Programming / Web development,IntelFort Limited,Lagos,"16th December, 2020"
343,Project Manager,Project Management,IntelFort Limited,Lagos,"16th December, 2020"
345,Security Guard,Security / Intelligence,Smart Logent Security Limited,Lagos,"16th December, 2020"
347,Accountant / Operations Manager,Accounting / Audit / Finance,Owens and Xley Consults,Lagos,"16th December, 2020"
348,General Manager,Executive / Management,PreDiagnosis International,Lagos,"16th December, 2020"
349,Marketing Officer,Advertising/ Social Media/ Marketing/ PR,B.Truss Limited,Imo,"16th December, 2020"
350,Sales Officer,Sales / Business Development,Earth Blend,Lagos,"16th December, 2020"
351,Retail Sales Officer,Sales / Business Development,Heirs Life Assurance Limited,Lagos,"16th December, 2020"
352,Full Stack Engineer,Engineering / Technical,GoGoSmartCities,Abuja,"16th December, 2020"
353,Head of Supply Chain,Supply Chain/ Store,Daystar Power Group,Lagos,"16th December, 2020"
354,Procurement and Logistics Manager,Logistics / Transportation/ Supply,Daystar Power Group,Lagos,"16th December, 2020"
357,Office Administrator (School),Administration/ Office/ Operations,Pukka Logistics & Support Services Limited,Lagos,"16th December, 2020"
359,Human Resources Officer,Human Resources / Recruitment,Erisco Foods Limited,Lagos,"16th December, 2020"
360,Business Executive,Sales / Business Development,Adron Homes and properties Limited,Abuja,"16th December, 2020"
361,Van Sales Driver,Sales / Business Development,Erisco Foods Limited,Lagos,"16th December, 2020"
362,Professional Driver,Driving / Haulage,TwentySix Logistics,Lagos,"16th December, 2020"
363,Operations Manager,Project Management,TwentySix Logistics,Lagos,"16th December, 2020"
364,Sales Executive,Sales / Business Development,REALTY POINT LIMITED,Lagos,"16th December, 2020"
365,Financial Controller,Accounting / Audit / Finance,Bellforte Consulting,Lagos,"15th December, 2020"
367,Digital Sales Manager,Advertising/ Social Media/ Marketing/ PR,Vidoomy,Lagos,"15th December, 2020"
368,Receptionist,Administration/ Office/ Operations,A reputable Hotel,Lagos,"15th December, 2020"
369,Montessori School Head,Education / Teaching / Training,Bachel Group of Schools,Lagos,"15th December, 2020"
370,Admin Officer,Administration/ Office/ Operations,Services Beverages Africa,Lagos,"15th December, 2020"
371,Dispatch Rider,Logistics / Transportation/ Supply,Future Tech Mobility,Lagos,"15th December, 2020"
372,Continental and Africana Chef / Cook,Hospitality / Food Services,Perpetual Taste Fast Food,Rivers (PH),"15th December, 2020"
373,IT System Administrator,Information Technology / ICT,Tek Experts,Lagos,"15th December, 2020"
374,Financial Advisor,Accounting / Audit / Finance,ARM Life Plc,Lagos,"15th December, 2020"
375,Network Sales Specialist,Sales / Business Development,Ericsson,Lagos,"15th December, 2020"
376,Internal Control Officer,Accounting / Audit / Finance,Citygate Global,Lagos,"15th December, 2020"
378,Architectural Designer,Building Design / Architecture,NEXTZON Business Services Limited,Lagos,"15th December, 2020"
379,Recruitment Marketing Personnel,Human Resources / Recruitment,Sigma Consulting Group,Lagos,"15th December, 2020"
380,Quality Control Manager,Analyst/ Quality Control,Services Beverages Africa,Lagos,"15th December, 2020"
381,Business Manager,Sales / Business Development,First Choice International Consulting & Financial Solution Limited,Lagos,"15th December, 2020"
382,Centre Administrator,Administration/ Office/ Operations,ICS Outsourcing,Lagos,"15th December, 2020"
383,Sales Executive,Sales / Business Development,Titsall Global School,Lagos,"15th December, 2020"
384,Finance Officer,Accounting / Audit / Finance,ASIN Integrated Farms,Kano,"15th December, 2020"
385,Security Supervisor,Security / Intelligence,ASIN Integrated Farms,Kano,"15th December, 2020"
386,Quality Control Supervisor,Analyst/ Quality Control,ASIN Integrated Farms,Kano,"15th December, 2020"
387,Back End Developer,Software/ Programming / Web development,Klasha,Lagos,"15th December, 2020"
388,Auditor,Accounting / Audit / Finance,UNILAG Consult Services,Lagos,"15th December, 2020"
389,Accountant,Accounting / Audit / Finance,Madas Finance,Lagos,"15th December, 2020"
390,Customer Service Officer,Customer Service,Madas Finance,Lagos,"15th December, 2020"
391,Office Assistant,Administration/ Office/ Operations,Buckler Ordnance Systems Limited,Lagos,"15th December, 2020"
392,Human Resources Officer,Human Resources / Recruitment,Compovine Technologies Limited,Lagos,"15th December, 2020"
395,Business Development Officer - SIIBL,Sales / Business Development,Stanbic IBTC Bank,Lagos,"15th December, 2020"
396,Accountant,Accounting / Audit / Finance,Titsall Global School,Abuja,"15th December, 2020"
398,Digital Marketer and Sales Person,Advertising/ Social Media/ Marketing/ PR,Aideplanet Limited,Lagos,"15th December, 2020"
399,Accountant,Accounting / Audit / Finance,Amagbuz Venture,Kwara,"15th December, 2020"
400,Sales Representative,Sales / Business Development,ARM Life Plc,Lagos,"15th December, 2020"
401,Product Manager,Advertising/ Social Media/ Marketing/ PR,Afrab Chem Limited,Lagos,"15th December, 2020"
403,Maintenance Officer,Engineering / Technical,LSG Sky Chefs Things Remembered Services FZE,Lagos,"15th December, 2020"
404,Project Manager,Project Management,DexNova,Rivers (PH),"15th December, 2020"
406,Mechanical Instructor,Education / Teaching / Training,Michael Stevens Consulting,Lagos,"15th December, 2020"
407,Operations Manager,Project Management,vasiti.com,Lagos,"15th December, 2020"
408,Content Editor / QA,Freelance / Data Entry,Tek Experts,Abuja,"15th December, 2020"
409,Manager,Executive / Management,Amagbuz Venture,Kwara,"15th December, 2020"
410,Driver,Driving / Haulage,Orfema Pharmaceutical Industry Limited,Lagos,"15th December, 2020"
411,Corporate Driver,Driving / Haulage,Michael Stevens Consulting,Rivers (PH),"15th December, 2020"
412,Sales Representative,Sales / Business Development,Fadac Resources and Services,Abuja,"15th December, 2020"
413,Professional Driver,Driving / Haulage,Tenaui Africa Limited,Lagos,"15th December, 2020"
414,Electrical / Electronic Instructor,Engineering / Technical,Michael Stevens Consulting,Lagos,"15th December, 2020"
415,Field Sales Executive,Sales / Business Development,Mittwash Laundry Services,Lagos,"15th December, 2020"
416,Finance and Admin Assistant,Accounting / Audit / Finance,International Medical Corps,Abuja,"15th December, 2020"
417,Field Marketing Specialist,Advertising/ Social Media/ Marketing/ PR,Oracle Nigeria,Abuja,"15th December, 2020"
418,Production Pharmacist,Medical/ Healthcare / Pharmaceutical,Orfema Pharmaceutical Industry Limited,Lagos,"15th December, 2020"
420,Driver,Driving / Haulage,International Business Solutions Limited,Lagos,"15th December, 2020"
421,Marketer,Advertising/ Social Media/ Marketing/ PR,International Business Solutions Limited,Lagos,"15th December, 2020"
422,Sales Representative,Sales / Business Development,Virgin Beauty Industries Nigeria Limited,Lagos,"15th December, 2020"
423,Office / Sales Manager,Sales / Business Development,Virgin Beauty Industries Nigeria Limited,Lagos,"15th December, 2020"
424,Outside Sales Representative,Sales / Business Development,BillyRose Bakeries Confectioneries Limited,Lagos,"15th December, 2020"
426,Associate Financial Advisor,Accounting / Audit / Finance,Old Mutual Nigeria,Abuja,"14th December, 2020"
427,Customer Service Assistant,Customer Service,Tyrbats Nigeria Limited,Lagos,"14th December, 2020"
428,Assistant HR Officer,Human Resources / Recruitment,TeamAce,Lagos,"14th December, 2020"
429,Sales and Marketing Professional,Advertising/ Social Media/ Marketing/ PR,Mentapp Solutions Limited,Lagos,"14th December, 2020"
430,Technical Administrative Assistant,Engineering / Technical,Michael Stevens Consulting,Rivers (PH),"14th December, 2020"
431,Inventory Officer,Supply Chain/ Store,SPM Professionals Limited,Abuja,"14th December, 2020"
432,Secretary,Secretarial / PA,Matoni Consults,Lagos,"14th December, 2020"
433,Marketer,Advertising/ Social Media/ Marketing/ PR,Gemstone Financial Services Limited,Abuja,"14th December, 2020"
434,Secretary,Administration/ Office/ Operations,Bethsaida Group of Companies,Ogun,"14th December, 2020"
435,Human Resource Officer,Human Resources / Recruitment,Bethsaida Group of Companies,Ogun,"14th December, 2020"
436,Sales Executive,Sales / Business Development,Olutoyi Estate Development and Services Limited,Lagos,"14th December, 2020"
437,Internal Audit Officer,Accounting / Audit / Finance,JKLC Professional Services,Lagos,"14th December, 2020"
438,Quantity Surveyor,Analyst/ Quality Control,Willers Solutions Limited,Lagos,"14th December, 2020"
439,Administrative Secretary,Administration/ Office/ Operations,I-Serve Professional Service,Lagos,"14th December, 2020"
440,Executive Assistant,Administration/ Office/ Operations,Snail Rearing and Agro Products Limited,Lagos,"14th December, 2020"
441,Sales Promoter,Sales / Business Development,Ascentech Services Limited,Lagos,"14th December, 2020"
442,Professional Driver,Driving / Haulage,Strongmas Automobile Limited,Lagos,"14th December, 2020"
443,Business Development Manager,Sales / Business Development,IPI PowerTech,Lagos,"14th December, 2020"
444,Dispatch Rider,Logistics / Transportation/ Supply,Swissdarl Freight & Logistics Limited,Lagos,"14th December, 2020"
445,Experienced Diction Teacher,Education / Teaching / Training,Keen British School,Lagos,"14th December, 2020"
446,Accounts and Administrative Officer,Accounting / Audit / Finance,Turahfrique Interiors Limited,Lagos,"14th December, 2020"
447,Principal,Education / Teaching / Training,Blessed Secondary School,Ogun,"14th December, 2020"
448,Commercial Manager,Advertising/ Social Media/ Marketing/ PR,Workforce Group,Abuja,"14th December, 2020"
450,Female Sales Executive,Sales / Business Development,Armorsil West Africa,Lagos,"14th December, 2020"
451,Executive Assistant,Administration/ Office/ Operations,Eden Solution and Resources Ltd.,Abuja,"14th December, 2020"
452,Account Executive,Accounting / Audit / Finance,JKLC Professional Services,Lagos,"14th December, 2020"
453,Medical Officer,Medical/ Healthcare / Pharmaceutical,Prestigious Consulting,Lagos,"14th December, 2020"
454,Technical / Executive Assistant,Administration/ Office/ Operations,a reputable Oil and Gas company,Lagos,"14th December, 2020"
455,Digital Marketer,Advertising/ Social Media/ Marketing/ PR,Bleu Orange,Lagos,"14th December, 2020"
456,Asp .Net Developer,Software/ Programming / Web development,Tezza Business Solutions Limited,Lagos,"14th December, 2020"
458,Software Developer,Software/ Programming / Web development,Coniah Systems Support Limited,Lagos,"14th December, 2020"
459,Locum Pharmacist,Medical/ Healthcare / Pharmaceutical,Remediks,Abuja,"14th December, 2020"
460,Client Relationship Officer,Customer Service,Pruvia Integrated Limited,Lagos,"14th December, 2020"
461,Public Relations Officer,Advertising/ Social Media/ Marketing/ PR,Enoch Stone consulting,Abuja,"14th December, 2020"
462,Biomedical Engineer,Engineering / Technical,Solidarites International,Lagos,"14th December, 2020"
464,Sales Representative,Sales / Business Development,Merit Healthcare Limited,Lagos,"14th December, 2020"
465,Quality Control Officer,Analyst/ Quality Control,Sevan Construction Nigeria Limited,Lagos,"14th December, 2020"
466,Admin Officer,Administration/ Office/ Operations,NENnetworks Nigeria,Lagos,"14th December, 2020"
467,Cleaner,Domestic / Janitorial Services,Idyllic Technologies Limited,Lagos,"14th December, 2020"
468,Consultant,Consulting / Business Strategy/ Planning,GODP,Lagos,"14th December, 2020"
470,HR Business Partner,Human Resources / Recruitment,Telinno Consulting Limited,Lagos,"14th December, 2020"
471,Call Centre Representative,Customer Service,Enoch Stone consulting,Abuja,"14th December, 2020"
473,Editor,Media / Art / Entertainment,May University Press Limited,Lagos,"14th December, 2020"
474,Digital Marketing Executive,Advertising/ Social Media/ Marketing/ PR,First Excelsia Professional Services Limited,Lagos,"14th December, 2020"
475,Travel Agent,Logistics / Transportation/ Supply,Joyinkash Integrated Ventures,Lagos,"14th December, 2020"
476,Key Account Manager,Accounting / Audit / Finance,Telinno Consulting Limited,Lagos,"14th December, 2020"
477,Front End Developer,Software/ Programming / Web development,Polaris Digitech Limited,Lagos,"14th December, 2020"
478,Marketer,Advertising/ Social Media/ Marketing/ PR,GTI Microfinance Bank,Lagos,"14th December, 2020"
480,Receptionist / Frontdesk Officer,Administration/ Office/ Operations,Flone Fair,Lagos,"14th December, 2020"
481,Executive Assistant,Administration/ Office/ Operations,UHR Consult Limited,Abuja,"14th December, 2020"
482,Writer,Freelance / Data Entry,Inter Gap,Abuja,"14th December, 2020"
483,Online Sale Representative,Sales / Business Development,FortunEdge Systems,Lagos,"14th December, 2020"
484,Quality Control Supervisor,Analyst/ Quality Control,Navic Investment Limited,Lagos,"14th December, 2020"
485,Head of Account,Accounting / Audit / Finance,UHR Consult Limited,Abuja,"14th December, 2020"
487,Marketing Partner,Advertising/ Social Media/ Marketing/ PR,Rapholu Publishing Nigeria Company,Abuja,"13th December, 2020"
488,Marketing Partner,Advertising/ Social Media/ Marketing/ PR,Rapholu Publishing Nigeria Company,Abuja,"13th December, 2020"
489,Marketing Partner,Advertising/ Social Media/ Marketing/ PR,Rapholu Publishing Nigeria Company,Abuja,"13th December, 2020"
490,Account Officer,Administration/ Office/ Operations,Denaro Properties Limited,Lagos,"13th December, 2020"
492,Cost Accountant,Accounting / Audit / Finance,Pistachio Associates,Lagos,"13th December, 2020"
493,Dispatch Rider,Logistics / Transportation/ Supply,Libra Motors Limited,Abuja,"13th December, 2020"
494,Business Executive,Sales / Business Development,Denaro Properties Limited,Lagos,"13th December, 2020"
495,Social Media Manager,Advertising/ Social Media/ Marketing/ PR,Kraks Media Limited,Lagos,"13th December, 2020"
496,Business Development Manager,Sales / Business Development,Renda Limited,Lagos,"13th December, 2020"
497,Digital Marketer,Advertising/ Social Media/ Marketing/ PR,FortunEdege Systems,Lagos,"13th December, 2020"
498,Field Accountant,Accounting / Audit / Finance,Winrock International,Abuja,"13th December, 2020"
499,Sales Manager - Commercial Air Conditioner (CAC),Sales / Business Development,Ascentech Services Limited,Lagos,"12th December, 2020"
500,Staff Assistant,Sales / Business Development,PCI Educational Consult Limited,Oyo,"12th December, 2020"
501,Store Supervisor,Supply Chain/ Store,Pistachio Associates,Lagos,"12th December, 2020"
502,Maintenance Manager,Engineering / Technical,SUNDAY TECH,Delta,"12th December, 2020"
503,Female Cashier,Accounting / Audit / Finance,a reputable company,Imo,"12th December, 2020"
507,Copy Editor,Media / Art / Entertainment,Mariabake Media,Kaduna,"12th December, 2020"
508,Dispatch Rider,Logistics / Transportation/ Supply,Redline Logistics Nigeria Limited,Lagos,"12th December, 2020"
